자치구,대여소명,기준년월,대여건수,반납건수,대여소명_clean,대여소_ID,주소1,주소2,위도,경도
서대문구,188. 홍은동 정원여중 입구,202502,359,334,홍은동 정원여중 입구,ST-346,서울특별시 서대문구 연희로37안길 51,홍은동 정원여중 입구,37.586388,126.935127
서대문구,192. 연서어린이공원,202502,280,291,연서어린이공원,ST-348,서울특별시 서대문구 연희동 519-7,연서어린이공원,37.572227,126.923065
서대문구,178. 증산3교 앞,202502,699,684,증산3교 앞,ST-349,서울특별시 서대문구 북가좌동 352-9,증산3교 앞,37.579876,126.906349
서대문구,194. 증산교 앞,202502,694,700,증산교 앞,ST-350,서울특별시 서대문구 불광천길 36,증산교 앞,37.577316,126.902969
서대문구,195. 모래내고가차도 ,202502,359,320,모래내고가차도,ST-351,서울특별시 서대문구 연희동 446-76,모래내고가차도,37.567657,126.917809
서대문구,196. 연희교차로 인근,202502,188,156,연희교차로 인근,ST-352,서울특별시 서대문구 홍제천로 48,연희교차로 인근,37.56612,126.925896
성동구,556. 달맞이공원,202502,27,27,달맞이공원,ST-357,서울특별시 성동구 금호동4가 367-1,달맞이공원,37.542053,127.020401
성동구,557. 도선동 주민센터 앞,202502,788,917,도선동 주민센터 앞,ST-358,서울특별시 성동구 무학로10길 6,도선동 주민센터 앞,37.567642,127.025696
성동구,558. 성동광진 교육지원청 앞,202502,715,711,성동광진 교육지원청 앞,ST-359,서울특별시 성동구 고산자로 260,성동광진 교육지원청 앞,37.564606,127.036522
성동구,559. 왕십리역 4번 출구 건너편,202502,888,927,왕십리역 4번 출구 건너편,ST-360,서울특별시 성동구 왕십리광장로 10-1,왕십리역 4번 출구 건너편,37.561096,127.036797
성동구,560. 비전교회 앞,202502,1218,1231,비전교회 앞,ST-361,서울특별시 성동구 동일로 213,비전교회 앞,37.551205,127.068932
성동구,561. 서울숲역 2번출구 앞,202502,875,964,서울숲역 2번출구 앞,ST-362,서울특별시 성동구 왕십리로 64,서울숲역 2번출구 앞,37.542816,127.04467
